Monthly Date,SPY Monthly Close
"Jun 17, 2022",365.86
"Jun 01, 2022",365.86
"May 01, 2022",412.93
"Apr 01, 2022",412.00
"Mar 01, 2022",451.64
"Feb 01, 2022",436.63
"Jan 01, 2022",449.91
"Dec 01, 2021",474.96
"Nov 01, 2021",455.56
"Oct 01, 2021",459.25
"Sep 01, 2021",429.14
"Aug 01, 2021",451.56
"Jul 01, 2021",438.51
"Jun 01, 2021",428.06
"May 01, 2021",420.04
"Apr 01, 2021",417.30
"Mar 01, 2021",396.33
"Feb 01, 2021",380.36
"Jan 01, 2021",370.07
"Dec 01, 2020",373.88
"Nov 01, 2020",362.06
"Oct 01, 2020",326.54
"Sep 01, 2020",334.89
"Aug 01, 2020",349.31
"Jul 01, 2020",326.52
"Jun 01, 2020",308.36
"May 01, 2020",304.32
"Apr 01, 2020",290.48
"Mar 01, 2020",257.75
"Feb 01, 2020",296.26
"Jan 01, 2020",321.73
"Dec 01, 2019",321.86
"Nov 01, 2019",314.31
"Oct 01, 2019",303.33
"Sep 01, 2019",296.77
"Aug 01, 2019",292.45
"Jul 01, 2019",297.43
"Jun 01, 2019",293.00
"May 01, 2019",275.27
"Apr 01, 2019",294.02
"Mar 01, 2019",282.48
"Feb 01, 2019",278.68
"Jan 01, 2019",269.93
"Dec 01, 2018",249.92
"Nov 01, 2018",275.65
"Oct 01, 2018",270.63
"Sep 01, 2018",290.72
"Aug 01, 2018",290.31
"Jul 01, 2018",281.33
"Jun 01, 2018",271.28
"May 01, 2018",270.94
"Apr 01, 2018",264.51
"Mar 01, 2018",263.15
"Feb 01, 2018",271.65
"Jan 01, 2018",281.90
"Dec 01, 2017",266.86
"Nov 01, 2017",265.01
"Oct 01, 2017",257.15
"Sep 01, 2017",251.23
"Aug 01, 2017",247.49
"Jul 01, 2017",246.77
"Jun 01, 2017",241.80
"May 01, 2017",241.44
"Apr 01, 2017",238.08
"Mar 01, 2017",235.74
"Feb 01, 2017",236.47
"Jan 01, 2017",227.53
"Dec 01, 2016",223.53
"Nov 01, 2016",220.38
"Oct 01, 2016",212.55
"Sep 01, 2016",216.30
"Aug 01, 2016",217.38
"Jul 01, 2016",217.12
"Jun 01, 2016",209.48
"May 01, 2016",209.84
"Apr 01, 2016",206.33
"Mar 01, 2016",205.52
"Feb 01, 2016",193.56
"Jan 01, 2016",193.72
"Dec 01, 2015",203.87
"Nov 01, 2015",208.69
"Oct 01, 2015",207.93
"Sep 01, 2015",191.63
"Aug 01, 2015",197.67
"Jul 01, 2015",210.50
"Jun 01, 2015",205.85
"May 01, 2015",211.14
"Apr 01, 2015",208.46
"Mar 01, 2015",206.43
"Feb 01, 2015",210.66
"Jan 01, 2015",199.45
"Dec 01, 2014",205.54
"Nov 01, 2014",207.20
"Oct 01, 2014",201.66
"Sep 01, 2014",197.02
"Aug 01, 2014",200.71
"Jul 01, 2014",193.09
"Jun 01, 2014",195.72
"May 01, 2014",192.68
"Apr 01, 2014",188.31
"Mar 01, 2014",187.01
"Feb 01, 2014",186.29
"Jan 01, 2014",178.18
"Dec 01, 2013",184.69
"Nov 01, 2013",181.00
"Oct 01, 2013",175.79
"Sep 01, 2013",168.01
"Aug 01, 2013",163.65
"Jul 01, 2013",168.71
"Jun 01, 2013",160.42
"May 01, 2013",163.45
"Apr 01, 2013",159.68
"Mar 01, 2013",156.67
"Feb 01, 2013",151.61
"Jan 01, 2013",149.70
"Dec 01, 2012",142.41
"Nov 01, 2012",142.15
"Oct 01, 2012",141.35
"Sep 01, 2012",143.97
"Aug 01, 2012",141.16
"Jul 01, 2012",137.71
"Jun 01, 2012",136.10
"May 01, 2012",131.47
"Apr 01, 2012",139.87
"Mar 01, 2012",140.81
"Feb 01, 2012",137.02
"Jan 01, 2012",131.32
"Dec 01, 2011",125.50
"Nov 01, 2011",124.99
"Oct 01, 2011",125.50
"Sep 01, 2011",113.15
"Aug 01, 2011",122.22
"Jul 01, 2011",129.33
"Jun 01, 2011",131.97
"May 01, 2011",134.90
"Apr 01, 2011",136.43
"Mar 01, 2011",132.59
"Feb 01, 2011",133.15
"Jan 01, 2011",128.68
"Dec 01, 2010",125.75
"Nov 01, 2010",118.49
"Oct 01, 2010",118.49
"Sep 01, 2010",114.13
"Aug 01, 2010",105.31
"Jul 01, 2010",110.27
"Jun 01, 2010",103.22
"May 01, 2010",109.37
"Apr 01, 2010",118.81
"Mar 01, 2010",117.00
"Feb 01, 2010",110.74
"Jan 01, 2010",107.39
"Dec 01, 2009",111.44
"Nov 01, 2009",109.94
"Oct 01, 2009",103.56
"Sep 01, 2009",105.59
"Aug 01, 2009",102.46
"Jul 01, 2009",98.81
"Jun 01, 2009",91.95
"May 01, 2009",92.53
"Apr 01, 2009",87.42
"Mar 01, 2009",79.52
"Feb 01, 2009",73.93
"Jan 01, 2009",82.83
"Dec 01, 2008",90.24
"Nov 01, 2008",90.09
"Oct 01, 2008",96.83
"Sep 01, 2008",115.99
"Aug 01, 2008",128.79
"Jul 01, 2008",126.83
"Jun 01, 2008",127.98
"May 01, 2008",140.35
"Apr 01, 2008",138.26
"Mar 01, 2008",131.97
"Feb 01, 2008",133.82
"Jan 01, 2008",137.37
"Dec 01, 2007",146.21
"Nov 01, 2007",148.66
"Oct 01, 2007",154.65
"Sep 01, 2007",152.58
"Aug 01, 2007",147.59
"Jul 01, 2007",145.72
"Jun 01, 2007",150.43
"May 01, 2007",153.32
"Apr 01, 2007",148.29
"Mar 01, 2007",142.00
"Feb 01, 2007",140.93
"Jan 01, 2007",143.75
"Dec 01, 2006",141.62
"Nov 01, 2006",140.53
"Oct 01, 2006",137.79
"Sep 01, 2006",133.58
"Aug 01, 2006",130.64
"Jul 01, 2006",127.85
"Jun 01, 2006",127.28
"May 01, 2006",127.51
"Apr 01, 2006",131.47
"Mar 01, 2006",129.83
"Feb 01, 2006",128.23
"Jan 01, 2006",127.50
"Dec 01, 2005",124.51
"Nov 01, 2005",125.41
"Oct 01, 2005",120.13
"Sep 01, 2005",123.04
"Aug 01, 2005",122.58
"Jul 01, 2005",123.74
"Jun 01, 2005",119.18
"May 01, 2005",119.48
"Apr 01, 2005",115.75
"Mar 01, 2005",117.96
"Feb 01, 2005",120.63
"Jan 01, 2005",118.16
"Dec 01, 2004",120.87
"Nov 01, 2004",117.89
"Oct 01, 2004",113.20
"Sep 01, 2004",111.76
"Aug 01, 2004",111.11
"Jul 01, 2004",110.84
"Jun 01, 2004",114.53
"May 01, 2004",112.86
"Apr 01, 2004",110.96
"Mar 01, 2004",113.10
"Feb 01, 2004",115.02
"Jan 01, 2004",113.48
"Dec 01, 2003",111.28
"Nov 01, 2003",106.45
"Oct 01, 2003",105.30
"Sep 01, 2003",99.95
"Aug 01, 2003",101.44
"Jul 01, 2003",99.39
"Jun 01, 2003",97.63
"May 01, 2003",96.95
"Apr 01, 2003",91.91
"Mar 01, 2003",84.74
"Feb 01, 2003",84.90
"Jan 01, 2003",86.06
"Dec 01, 2002",88.23
"Nov 01, 2002",93.98
"Oct 01, 2002",88.52
"Sep 01, 2002",81.79
"Aug 01, 2002",91.78
"Jul 01, 2002",91.16
"Jun 01, 2002",98.96
"May 01, 2002",107.22
"Apr 01, 2002",107.86
"Mar 01, 2002",114.52
"Feb 01, 2002",111.15
"Jan 01, 2002",113.18
"Dec 01, 2001",114.30
"Nov 01, 2001",114.05
"Oct 01, 2001",105.80
"Sep 01, 2001",104.44
"Aug 01, 2001",114.15
"Jul 01, 2001",121.35
"Jun 01, 2001",122.60
"May 01, 2001",125.95
"Apr 01, 2001",126.66
"Mar 01, 2001",116.69
"Feb 01, 2001",123.95
"Jan 01, 2001",137.02
"Dec 01, 2000",131.19
