Date,ActualValue
2022.04.26,107.3
2022.03.29,107.2
2022.02.22,110.5
2022.01.25,113.8
2021.12.22,115.8
2021.11.30,109.5
2021.10.26,113.8
2021.09.28,109.3
2021.08.31,113.8
2021.07.27,129.1
2021.06.29,127.3
2021.05.25,117.2
2021.04.27,121.7
2021.03.30,109.7
2021.02.23,91.3
2021.01.26,89.3
2020.12.22,88.6
2020.11.24,96.1
2020.10.27,100.9
2020.09.29,101.8
2020.08.25,84.8
2020.07.28,92.6
2020.06.30,98.1
2020.05.26,86.6
2020.04.28,86.9
2020.03.31,120
2020.02.25,130.7
2020.01.28,131.6
2019.12.31,126.5
2019.11.26,125.5
2019.10.29,125.9
2019.09.24,125.1
2019.08.27,135.1
2019.07.30,135.7
2019.06.25,121.5
2019.05.28,134.1
2019.04.30,129.2
2019.03.26,124.1
2019.02.26,131.4
2019.01.29,120.2
2018.12.27,128.1
2018.11.27,135.7
2018.10.30,137.9
2018.09.25,138.4
2018.08.28,133.4
2018.07.31,127.4
2018.06.26,126.4
2018.05.29,128
2018.04.24,128.7
2018.03.27,127.7
2018.02.27,130.8
2018.01.30,125.4
2017.12.27,122.1
2017.11.28,129.5
2017.10.31,125.9
2017.09.26,119.8
2017.08.29,122.9
2017.07.25,121.1
2017.06.27,118.9
2017.05.30,117.9
2017.04.25,120.3
2017.03.28,125.6
2017.02.28,114.8
2017.01.31,111.8
2016.12.27,113.7
2016.11.29,107.1
2016.10.25,98.6
2016.09.27,104.1
2016.08.30,101.1
2016.07.26,97.3
2016.06.28,98
2016.05.31,92.6
2016.04.26,94.2
2016.03.29,96.2
2016.02.23,92.2
2016.01.26,98.1
2015.12.29,96.5
2015.11.24,90.4
2015.10.27,97.6
2015.09.29,103
2015.08.25,101.5
2015.07.28,90.9
2015.06.30,101.4
2015.05.26,95.4
2015.04.28,95.2
2015.03.31,101.4
2015.02.24,98.8
2015.01.27,103.8
2014.12.30,93.1
2014.11.25,91
2014.10.28,94.1
2014.09.30,89
2014.08.26,93.4
2014.07.29,90.3
2014.06.24,86.4
2014.05.27,82.2
2014.04.29,81.7
2014.03.25,83.9
2014.02.25,78.3
2014.01.28,79.4
2013.12.31,77.5
2013.11.26,72
2013.10.29,72.4
2013.09.24,80.2
2013.08.27,81.8
2013.07.30,81
2013.06.25,82.1
2013.05.28,74.3
2013.04.30,69
2013.03.26,61.9
2013.02.26,68
2013.01.29,58.4
2012.12.27,66.7
2012.11.27,71.5
2012.11.01,72.2
2012.09.25,68.4
2012.08.28,61.3
2012.07.31,65.4
2012.06.26,62.7
2012.05.29,64.4
2012.04.24,68.7
2012.03.27,69.5
2012.02.28,71.6
2012.01.31,61.5
2011.12.27,64.8
2011.11.29,55.2
2011.10.25,40.9
2011.09.27,46.4
2011.08.30,45.2
2011.07.26,59.2
2011.06.28,57.6
2011.05.31,61.7
2011.04.26,66
2011.03.29,63.8
2011.02.22,72
2011.01.25,64.8
2010.12.28,53.3
2010.11.30,54.3
2010.10.26,49.9
2010.09.28,48.5
2010.08.31,53.2
2010.07.27,51
2010.06.29,54.3
2010.05.25,62.7
2010.04.27,57.7
2010.03.30,52.3
2010.02.23,46
2010.01.26,56.5
2009.12.29,53.6
2009.11.24,50.6
2009.10.27,48.7
2009.09.29,53.4
2009.08.25,54.5
2009.07.28,47.4
2009.06.30,49.3
2009.05.26,54.8
2009.04.28,40.8
2009.03.31,26.9
2009.02.24,25.3
2009.01.27,37.7
2008.12.30,38.6
2008.11.25,44.9
2008.10.28,38
2008.09.30,61.4
2008.08.26,58.5
2008.07.29,51.9
2008.06.24,51
2008.05.27,58.1
2008.04.29,62.8
2008.03.25,65.9
2008.02.26,76.4
2008.01.29,87.9
2007.12.27,88.6
2007.11.27,87.8
2007.10.30,95.2
2007.09.25,99.5
2007.08.28,105
2007.07.31,111.9
2007.06.26,105.3
2007.05.25,108.5
2007.04.24,106.3
2007.03.27,108.2
2007.02.27,111.2
2007.01.01,110.2
2006.12.01,110
2006.11.01,105.3
2006.10.01,105.1
2006.09.01,105.9
2006.08.01,100.2
2006.07.01,107
